Name,NPCs 1,Ruling Government,Campaign Signifnance,Quests Associated,Allegiance,Campaign Awareness,Organizations
Murkhold Crossing,,Veysha Shadewhisper,"Location, Middledark",,,Known Of,
Shadowed Flask,,,,,,Unknown to PC,
Ulfgar: The Underground Jewel,Drogon Stonebeard (NPCs/Drogon%20Stonebeard%2094be00f8beb3413e877b25e6c5ed5ddf.csv),,"City, Location, Middledark","Main Quest, Side Quest","Neutral, Underdark",Known Of,"Deep Delvers, Merchants Guild, Stonecutters"
Zarakzul: A Jewel in the Underdark,Grixiz (NPCs/Grixiz%208695fc8b64394b54896b2941a752a151.csv),,"City, Location, Middledark","Bonecarvers Oath, Echoes of the Deep, Festival of Lights, The Phantom Pearl Diver, The Whispering Shadows","Deepwater Fishers, Guardians of Shadow, Iron Gears, Karnuk, The Deep Lords, The Silent Assembly, Ulfgar, Underdark, Vragathul",Unknown to PC,"Deepwater Fishers, Iron Gears, Shadow Scale Clan"
Uttp: The Upper Tunnels Trading Post,,"Who Runs It: The Upper Tunnels Trading Post is jointly operated by a consortium of independent merchants, traders, and representatives from both surface and Underdark races. These individuals have come together in pursuit of mutual economic interests, seeking profit through the facilitation of trade between the surface world and the depths below.","City, Location, Middledark",,Neutral,Unknown to PC,"Deep Market Syndicate, Surface Traders Consortium, Underdark Merchant Alliance"
Vragathul: The Underground Metropolis,,"Vragathul's leadership rests with the High Council, a body composed of representatives from different races and social classes. This council, with figures like Viceroy Xarath at the helm, strives to maintain order, balance the needs of diverse communities, and ensure the city's well-being.
Driven by the constant threat of incursions from surface dwellers seeking to exterminate the Underdark's inhabitants, Vragathul has forged strategic alliances with other Underdark cities and races. This shared struggle against a common enemy has fostered a sense of unity and purpose within the city.","City, Location, Middledark",,Underdark,Unknown to PC,
Karnuk: A City Forged in Strength,,"Karnuk's leadership is embodied by Warchief Grakthar Ironfist, a formidable hobgoblin renowned for his exceptional skill in blacksmithing and his unwavering dedication to the city's defense and prosperity. Grakthar, a master craftsman himself, commands respect through his hands-on approach to leadership, often found working alongside his people in the forges or leading the militia in times of conflict. His pragmatic and resolute nature has earned him the loyalty of Karnuk's inhabitants, and under his guidance, the city has thrived as a hub of commerce and industry within the Underdark.","City, Location, Middledark",,,Unknown to PC,"Blackfire, Brotherhood of the Forge, Brotherhood of the Iron Mine, Deepstone Miners, Emberweave Guild, Iron Fist Guild, Iron Hammer Clan, Shadow Fang Assassin, Steel Syndicate, Stonecutters"
Hammerhold (Formerly Mithral Hall),,Thrain Stonefist - The Iron Chancellor,"City, Dwarven, Location, Upperdark","Allies in Arms, Shadows in the Depths, The Heart of the Forge","Karnuk, The Deep Lords, The Silent Assembly, Ulfgar, Vragathul",Unknown to PC,"The Deepdelvers Society, The Forgemasters Guild, The Stoneguard"
Ironbeard Bastion,,,,,,Unknown to PC,
Stonekeep Hall,,,,,,Unknown to PC,
Borins Stash,,,,,,Unknown to PC,
Near Iron Hallow Mine Cave Route,,,,,,Unknown to PC,