Type,Description
Cold,Extreme low temperature and magic attacks
Poison,"Venomous stings, spores, substances and gases"
Piercing,Puncturing and impaling attacks and weapon
Acid,"Corrosive substances, magical or alchemical"
Force,Pure magical energy focused in damaging form
Slashing,"Swords, axes, and monster claws that slash"
Necrotic,Dealt by certain undead and corrupted magic
Radiant,"Holy damage, like divine spells or creatures"
Lightning,"lightning bolt, or electricity spells."
Bludgeoning,"Blunt force hits (hammer, falling, etc.)"
Thunder,Concussive burst of sound or shock wave
Fire,Fire breaths and fire based spells and magic
Psychic,Mental attacks and damage like psionic abilities