God,Alignment,Domain,Symbol,Multi-select
Deity,Alignment,Domains,Symbol,
The Raven Queen,LN,"Death, Life",Raven’s head in profile,
Ioun,N,Knowledge,Crook shaped like a stylized eye,
Tiamat,LE,"Trickery, War",Five-clawed star,
Pelor,NG,"Life, Light",Circle with six outwardly radiating points,
Torog,NE,Death,T attached to a circular shackle,
Bahamut,LG,"Life, War",Dragon’s head in profile,
Beshaba,CE,Trickery,Black antlers,
Erathis,LN,Knowledge,Upper half of a clockwork gear,
Kord,CN,Tempest,Sword with a lightning bolt cross guard,
Bhaal,NE,Death,Skull surrounded by a ring of blood droplets,
Lolth,CE,Trickery,Eight-pointed star with a web motif; spider,
Azuth,LN,Knowledge,"Left hand pointing upward, outlined in fire",
Chauntea,NG,Life,Sheaf of grain or a blooming rose over grain,
Auril,NE,"Nature, Tempest",Six-pointed snowflake,
Melora,N,"Nature, Tempest",Seashell with a wavelike swirl,
Moradin,LG,"Knowledge, War",Anvil,
Gruumsh,CE,"Tempest, War",Unblinking triangular eye with bony protrusions,
Corellon,CG,Light,Starburst,
Asmodeus,LE,Trickery,Three triangles in tight formation,
Zehir,CE,"Trickery, Death",Snake in the shape of a dagger,
Bane,LE,War,Claw with three talons pointing down,
Avandra,CG,Trickery,Three stacked wavy lines,
Vecna,NE,"Death, Knowledge",Partially shattered one-eyed skull,
Sehanine,CG,Trickery,Crescent moon,
Tharizdun,CE,Trickery,Spiral,
Cyric,CE,Trickery,White jawless skull on black or purple sunburst,
Selûne,CG,"Knowledge, Life",Pair of eyes surrounded by seven stars,
Sune,CG,"Life, Light",Face of a beautiful red-haired woman,
Malar,CE,Nature,Clawed paw,
Silvanus,N,Nature,Oak leaf,
Leira,CN,Trickery,Point-down triangle containing a swirl of mist,
Tyr,LG,War,Balanced scales resting on a warhammer,
Loviatar,LE,Death,Nine-tailed barbed scourge,
Lliira,CG,Life,Triangle of three six-pointed stars,
Tempus,N,War,Upright flaming sword,
Myrkul,NE,Death,White human skull,
Mystra,NG,Knowledge,"Circle of seven stars, or nine stars encircling a flowing red mist, or a single star",
Shar,NE,"Death, Trickery",Black disk encircled with a border,
Helm,LN,"Life, Light",Staring eye on upright left gauntlet,
Kelemvor,LN,Death,Upright skeletal arm holding balanced scales,
Mask,CN,Trickery,Black mask,
Deneir,NG,Knowledge,Lit candle above an open eye,
Eldath,NG,"Life, Nature",Waterfall plunging into still pool,
Waukeen,N,"Knowledge, Trickery",Upright coin with Waukeen’s profile facing left,
Ilmater,LG,Life,Hands bound at the wrist with red cord,
Talona,CE,Death,Three teardrops on a triangle,
Tymora,CG,Trickery,Face-up coin,
Gond,N,Knowledge,Toothed cog with four spokes,
Mielikki,NG,Nature,Unicorn’s head,
Oghma,N,Knowledge,Blank scroll,
Savras,LN,Knowledge,Crystal ball containing many kinds of eyes,
Umberlee,CE,Tempest,Wave curling left and right,
Lathander,NG,"Life, Light",Road traveling into a sunrise,
Talos,CE,Tempest,Three lightning bolts radiating from a central point,
Milil,NG,Light,Five-stringed harp made of leaves,
Torm,LG,War,White right gauntlet,