d100,Effect (lasts 1d10 x 10 hours) *
86-90,"Whenever the character takes damage, he or she must succeed on a DC 15 Wisdom saving throw or be affected as though he or she failed a saving throw against the confusion spell. The confusion effect lasts for 1 minute"
91-95,The character loses the ability to speak
56-65,The character is https://www.notion.so/022f6b1378a14ae9b047761001db22f5?pvs=21 (25%) or https://www.notion.so/062cfa2ed6db4939905f8ecd80976459?pvs=21 (75%)
76-85,"The character suffers from partial amnesia. The character knows who he or she is and retains racial traits and class features, but doesn't recognize other people or remember anything that happened before the madness took effect"
21-30,The character suffers extreme paranoia. The character has disadvantage on Wisdom and Charisma checks
01-10,"The character feels compelled to repeat a specific activity over and over, such as washing hands, touching things, praying, or counting coins"
96-100,The character falls https://www.notion.so/4ed169f1bb0f4e8c8b3d9df585421612?pvs=21. No amount of jostling or damage can wake the character
41-45,The character experiences a powerful delusion. Choose a potion. The character imagines that he or she is under its effects
46-55,"The character becomes attached to a ""Lucky charm,"" such as a person or an object, and has disadvantage on attack rolls, ability checks, and saving throws while more than 30 feet away from it"
66-75,"The character experiences uncontrollable tremors or tics, which imposes disadvantage on attack rolls, ability checks, and saving throws that involve Strength or Dexterity"
31-40,"The character regards something (usually the source of the madness) with intense revulsion, as if affected by the antipathy effect of the antipathy/sympathy spell"
11-20,The character experiences vivid hallucinations and has disadvantage on ability checks